City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,vilyuchinsk,52.9306,158.4028,13.39,99,100,0.95,RU,1723153651
112,katoro,-3.0203,31.8958,20.21,60,10,0.2,TZ,1723153652
113,isangel,-19.55,169.2667,21.06,88,40,1.03,VU,1723153653
114,fale old settlement,-9.3852,-171.2468,28.29,76,100,7.6,TK,1723153654
115,amstetten,48.1229,14.8721,16.76,97,27,1.61,AT,1723153655
116,than,22.5667,71.1833,26.72,81,100,5.32,IN,1723153656
117,punta arenas,-53.15,-70.9167,7.06,81,100,6.17,CL,1723153012
118,wailua homesteads,22.0669,-159.378,28.19,67,20,5.66,US,1723153658
119,nacala,-14.5428,40.6728,20.62,89,3,1.14,MZ,1723153659
120,sinjai,-5.1241,120.253,22.96,87,34,0.49,ID,1723153660
121,ko pha ngan,9.7578,100.0291,25.97,75,82,5.09,TH,1723153661
122,delice,39.9537,34.0259,20.73,56,0,3.18,TR,1723153662
123,mehtar lam,34.6714,70.2094,28.8,70,10,0.92,AF,1723153663
124,tsiombe,-25.3,45.4833,19.53,78,0,1.95,MG,1723153664
125,qamdo,31.1667,97.2333,7.18,92,100,2.11,CN,1723153665
126,ilulissat,69.2167,-51.1,6.01,93,75,1.54,GL,1723153667
127,midvagur,62.0511,-7.1939,10.46,93,100,2.06,FO,1723153668
128,ta`u,-14.2336,-169.5144,25.24,74,93,10.04,AS,1723153672
129,kailua-kona,19.6406,-155.9956,28.49,77,40,4.12,US,1723153673
130,xiva,41.3783,60.3639,32.54,34,9,8.14,UZ,1723153674
131,shimoda,34.6667,138.95,27.98,81,0,2.29,JP,1723153675
132,flying fish cove,-10.4217,105.6791,24.82,88,100,6.69,CX,1723153676
133,point fortin,10.1833,-61.6833,29.14,68,11,2.31,TT,1723153677
134,port mathurin,-19.6833,63.4167,22.33,75,47,8.6,MU,1723153678
135,sittwe,20.15,92.9,26.04,87,81,1.77,MM,1723153679
136,puerto ayora,-0.7393,-90.3518,20.86,88,91,2.24,EC,1723153680
137,shingu,33.7333,135.9833,27.38,67,3,1.44,JP,1723153681
138,al harithah,30.7186,47.7208,35.98,19,0,5.14,IQ,1723153682
139,dwarka,22.2394,68.9678,27.69,85,100,7.19,IN,1723153683
140,kaoma,-14.7833,24.8,15.87,30,6,2.28,ZM,1723153684
141,minas de marcona,-15.2119,-75.1103,11.76,80,36,7.85,PE,1723153685
142,blenheim,-41.516,173.9528,8.62,96,100,0.89,NZ,1723153687
143,hithadhoo,-0.6,73.0833,27.31,77,100,4.51,MV,1723153688
144,antofagasta,-23.65,-70.4,14.71,84,34,3.25,CL,1723153564
145,bubaque,11.2833,-15.8333,26.56,81,100,5.99,GW,1723153690
146,mata-utu,-13.2816,-176.1745,26.08,68,59,9.37,WF,1723153691
147,buala,-8.145,159.5921,24.92,94,100,3.38,SB,1723153692
148,haiku-pauwela,20.9219,-156.3051,28.47,70,40,10.8,US,1723153693
149,jayapura,-2.5333,140.7,22.13,91,34,1.89,ID,1723153694
150,marsh harbour,26.5412,-77.0636,30.19,68,70,5.5,BS,1723153696
151,jawf al maqbabah,13.8378,45.8349,30.32,44,64,4.62,YE,1723153697
152,kodinsk,58.6881,99.1844,14.61,97,70,1.65,RU,1723153698
153,guerrero negro,27.9769,-114.0611,27.22,49,0,7.41,MX,1723153699
154,san juan,-31.5375,-68.5364,9.33,39,2,1.56,AR,1723153619
155,aasiaat,68.7098,-52.8699,3.37,93,100,1.56,GL,1723153701
156,severo-yeniseyskiy,60.3725,93.0408,11.17,95,100,0.38,RU,1723153702
157,farafangana,-22.8167,47.8333,21.21,83,97,3.13,MG,1723153703
158,varzea grande,-15.6467,-56.1325,29.93,54,100,6.69,BR,1723153704
159,la passe,45.5549,-0.8967,17.74,80,3,3.45,FR,1723153706
160,ghadamis,30.1337,9.5007,31.61,22,0,5.33,LY,1723153707
161,hawaiian paradise park,19.5933,-154.9731,29.29,70,100,2.57,US,1723153708
162,songea,-10.6833,35.65,13.8,58,37,0.67,TZ,1723153709
163,gaigeturi,33.4644,126.3183,28.03,83,0,0.51,KR,1723153710
164,gadzhiyevo,69.2551,33.3362,13.22,59,25,4.81,RU,1723153711
165,bahia honda,22.9036,-83.1592,29.95,72,52,1.87,CU,1723153712
166,bardai,11.65,7.2333,22.01,90,99,3.35,NG,1723153713
167,port alfred,-33.5906,26.891,13.43,95,17,3.45,ZA,1723153714
168,atafu village,-8.5421,-172.5159,28.27,77,99,8.2,TK,1723153715
169,portland,45.5234,-122.6762,34.81,40,72,1.34,US,1723153508
170,olinda,-8.0089,-34.8553,24.85,88,75,3.6,BR,1723153717
171,katsuren-haebaru,26.3369,127.8719,27.43,88,0,2.57,JP,1723153718
172,sejenane,37.0572,9.2381,27.71,41,0,1.89,TN,1723153719
173,kosikha,53.3617,84.5822,17.29,98,100,2.69,RU,1723153720
174,san mateo del mar,16.2,-95.0,29.65,73,87,4.08,MX,1723153721
175,bloomsburg,41.0037,-76.4549,23.49,88,100,0.89,US,1723153723
176,nouadhibou,20.931,-17.0347,21.99,83,5,7.2,MR,1723153724
177,cestos city,5.46,-9.5828,24.18,77,100,3.99,LR,1723153726
178,port hedland,-20.3167,118.5667,15.03,72,13,2.57,AU,1723153727
179,ma'rib,15.4591,45.3253,31.03,33,84,6.96,YE,1723153728
180,beau vallon,-20.4189,57.6953,22.13,68,40,4.63,MU,1723153729
181,viitasaari,63.0667,25.8667,17.22,67,100,2.51,FI,1723153730
182,buochs,46.974,8.4228,20.04,84,75,1.54,CH,1723153731
183,sakon nakhon,17.3333,103.8333,25.3,90,24,1.39,TH,1723153732
184,labytnangi,66.6572,66.4183,7.24,89,18,3.56,RU,1723153733
185,uturoa,-16.7333,-151.4333,25.84,79,7,2.96,PF,1723153734
186,ust-nera,64.5667,143.2,13.5,74,97,2.06,RU,1723153735
187,smithers,54.7804,-127.1743,31.18,20,20,3.09,CA,1723153736
188,iquique,-20.2208,-70.1431,15.53,82,31,1.97,CL,1723153439
189,kingston,17.997,-76.7936,31.53,70,20,6.69,JM,1723153365
190,codrington,-38.2667,141.9667,6.75,96,18,4.08,AU,1723153741
191,port saint john's,-31.6229,29.5448,19.5,61,0,4.22,ZA,1723153742
192,vadso,70.0744,29.7487,13.09,67,0,1.03,NO,1723153743
193,nemuro,43.3236,145.575,18.29,100,100,3.18,JP,1723153744
194,lebu,-37.6167,-73.65,8.13,79,14,3.95,CL,1723153745
195,forest city,28.6668,-81.4433,35.11,63,40,6.17,US,1723153746
196,ravar,31.2656,56.8055,30.41,9,0,1.36,IR,1723153747
197,saipan,15.1355,145.701,28.39,89,40,0.0,MP,1723153748
198,pisco,-13.7,-76.2167,18.03,68,0,5.66,PE,1723153749
199,phultala,22.7,89.5167,26.49,89,100,3.68,BD,1723153750
200,arkhipo-osipovka,44.37,38.52,22.85,51,0,3.73,RU,1723153751
201,kourou,5.1552,-52.6478,26.43,85,12,3.81,GF,1723153752
202,vila do maio,15.1333,-23.2167,25.68,76,30,1.48,CV,1723153753
203,olonkinbyen,70.9221,-8.7187,5.28,99,100,3.93,SJ,1723153754
204,sisimiut,66.9395,-53.6735,5.43,84,100,1.57,GL,1723153755
205,urangan,-25.3,152.9,16.7,86,74,5.89,AU,1723153756
206,labuan,5.2767,115.2417,25.2,94,20,0.0,MY,1723153757
207,cabo san lucas,22.8909,-109.9124,32.17,62,0,10.29,MX,1723153758
208,itacoatiara,-3.1431,-58.4442,31.44,38,2,0.8,BR,1723153759
209,howard springs,-12.497,131.047,19.37,71,2,2.88,AU,1723153761
210,tiksi,71.6872,128.8694,5.52,90,100,5.54,RU,1723153762
211,sault ste. marie,46.5168,-84.3333,23.16,64,100,3.09,CA,1723153695
212,huanuco,-9.9329,-76.2415,21.05,67,68,4.52,PE,1723153764
213,enewetak,11.3474,162.3373,28.97,76,23,6.69,MH,1723153765
214,piti village,13.4626,144.6933,27.49,94,0,1.54,GU,1723153767
215,aripuana,-9.1667,-60.6333,29.84,33,14,0.37,BR,1723153768
216,lamu,-2.2717,40.902,24.17,77,53,6.01,KE,1723153770
217,fada n'gourma,12.0622,0.3578,25.18,84,88,3.98,BF,1723153771
218,guelendeng,10.9176,15.5501,22.97,95,100,2.11,TD,1723153772
219,el calafate,-50.3408,-72.2768,3.49,87,31,3.71,AR,1723153600
220,pedersore,63.65,22.6833,15.0,90,82,2.45,FI,1723153774
221,maribo,54.7766,11.5002,15.53,90,100,2.36,DK,1723153775
222,sandnessjoen,66.0217,12.6316,16.06,94,75,2.06,NO,1723153776
223,ponta delgada,37.7333,-25.6667,22.4,78,20,3.6,PT,1723153779
224,coquimbo,-29.9533,-71.3436,15.55,51,0,4.63,CL,1723153502
225,laguna,38.421,-121.4238,34.1,33,0,3.6,US,1723153782
226,miyazu,35.5333,135.1833,24.87,79,91,0.5,JP,1723153783
227,boa vista,2.8197,-60.6733,32.99,52,40,2.57,BR,1723153784
228,santarem,-2.4431,-54.7083,33.07,55,0,5.14,BR,1723153785
229,houghton,47.1219,-88.569,20.71,56,75,10.29,US,1723153786
230,luderitz,-26.6481,15.1594,13.32,72,0,3.78,NA,1723153787
231,seven pagodas,12.6264,80.1722,26.95,81,68,4.55,IN,1723153788
232,badger,64.8,-147.5333,19.44,71,100,3.09,US,1723153789
233,luang namtha,20.9497,101.4011,21.24,100,38,0.46,LA,1723153790
234,walvis bay,-22.9575,14.5053,12.17,78,0,6.12,NA,1723153791
235,malvan,16.0667,73.4667,26.16,84,98,1.14,IN,1723153792
236,saint-philippe,-21.3585,55.7679,20.9,77,74,4.77,RE,1723153793
237,solleftea,63.1667,17.2667,14.87,98,100,1.82,SE,1723153795
238,alice springs,-23.7,133.8833,6.75,81,0,2.57,AU,1723153796
239,sulak,43.2734,47.5146,25.33,53,4,2.4,RU,1723153797
240,nabire,-3.3667,135.4833,23.36,97,91,1.96,ID,1723153798
241,darwin,-12.4611,130.8418,19.99,42,0,4.12,AU,1723153501
242,pyhajarvi,67.0701,27.2176,11.86,74,4,2.11,FI,1723153800
243,ceres,37.5949,-120.9577,35.97,17,0,5.14,US,1723153514
244,ha'il,27.5219,41.6907,31.01,18,0,1.03,SA,1723153802
245,hailun,47.45,126.9333,19.45,76,83,1.88,CN,1723153513
246,banda aceh,5.5577,95.3222,26.09,84,100,3.02,ID,1723153804
247,kirakira,-10.4544,161.9205,26.99,83,90,4.36,SB,1723153805
248,port douglas,-16.4833,145.4667,20.74,82,26,3.71,AU,1723153806
249,dakoro,14.5106,6.765,27.82,64,89,4.08,NE,1723153807
250,akjoujt,19.6969,-14.4164,32.56,40,2,9.0,MR,1723153808
251,harstad,68.799,16.5293,15.3,80,80,1.32,NO,1723153809
252,santa maria,-29.6842,-53.8069,13.61,58,20,5.14,BR,1723153643
253,tobelo,1.7284,128.0095,25.93,83,100,2.5,ID,1723153811
254,tyazhinskiy,56.116,88.524,14.21,96,51,1.88,RU,1723153812
255,colonia,50.9333,6.95,19.95,76,0,1.03,DE,1723153813
256,leiyang,26.4024,112.8591,26.13,76,25,2.68,CN,1723153815
257,dali,25.7,100.1833,17.67,96,69,2.47,CN,1723153816
258,gereida,11.2811,25.1414,22.79,86,99,4.31,SD,1723153817
259,pasuquin,18.3328,120.6177,26.97,94,75,4.12,PH,1723153818
260,vernon,50.2581,-119.2691,34.4,17,0,1.54,CA,1723153819
261,bloomfield,40.8068,-74.1854,21.48,94,100,7.2,US,1723153820
262,chamzinka,54.4019,45.7839,15.48,92,100,1.44,RU,1723153821
263,wotho,10.1657,166.0102,28.56,74,16,7.26,MH,1723153822
264,sabang,5.8933,95.3214,27.73,75,100,1.76,ID,1723153823
265,cambria,35.5641,-121.0808,20.49,64,32,4.56,US,1723153824
266,akdagmadeni,39.6603,35.8836,17.03,77,0,2.06,TR,1723153825
267,igrim,63.1906,64.4162,8.55,86,0,1.87,RU,1723153826
268,amloh,30.6084,76.2319,26.48,85,2,3.81,IN,1723153827
269,kristiansund,63.1115,7.732,13.96,82,75,1.54,NO,1723153829
270,picos,-7.0769,-41.4669,26.97,29,8,1.78,BR,1723153830
271,rethel,49.5,4.3333,19.54,72,67,2.36,FR,1723153831
272,howrah,22.5892,88.3103,28.0,94,75,3.6,IN,1723153833
273,lata,40.1629,-8.3327,14.7,96,1,0.78,PT,1723153834
274,basco,20.4487,121.9702,28.83,81,100,10.6,PH,1723153835
275,lorengau,-2.0226,147.2712,28.47,75,3,3.83,PG,1723153836
276,shuya,56.8487,41.3883,15.08,98,100,1.88,RU,1723153837
277,papao,-17.75,-149.55,25.31,85,8,4.16,PF,1723153838
278,mutsu,41.2894,141.2169,24.86,82,100,1.32,JP,1723153839
279,fort mcmurray,56.7268,-111.381,25.77,27,9,2.06,CA,1723153671
280,gizo,-8.103,156.8419,27.18,79,53,4.18,SB,1723153841
281,nuuk,64.1835,-51.7216,5.34,87,100,3.09,GL,1723153842
282,goalpara,26.1667,90.6167,25.83,91,99,1.35,IN,1723153844
283,gorontalo,0.5412,123.0595,23.21,93,73,1.99,ID,1723153845
284,tofol,5.3248,163.0078,28.79,73,68,4.7,FM,1723153846
285,troitsko-pechorsk,62.7084,56.1964,10.76,78,80,0.73,RU,1723153847
286,ataq,14.5377,46.8319,28.32,49,95,3.29,YE,1723153848
287,nova sintra,14.8667,-24.7167,25.63,79,11,3.85,CV,1723153849
288,taoudenni,22.6783,-3.9836,39.36,6,5,6.74,ML,1723153850
289,loreto,22.2667,-101.9667,29.63,21,30,4.78,MX,1723153851
290,kawambwa,-9.7915,29.0791,17.44,28,15,3.04,ZM,1723153852
291,pauini,-7.7136,-66.9764,32.97,39,65,1.15,BR,1723153853
292,vila velha,-20.3297,-40.2925,24.97,77,20,7.2,BR,1723153334
293,island harbour,50.724,-1.2758,18.88,95,100,4.47,GB,1723153855
294,magong,23.5654,119.5863,28.81,84,77,6.77,TW,1723153856
295,chuguyevka,44.1653,133.8633,21.24,95,15,1.12,RU,1723153857
296,aitape,-3.1374,142.3475,26.21,82,3,1.66,PG,1723153858
297,wenatchee,47.4235,-120.3103,34.47,24,0,2.24,US,1723153821
298,naze,28.3667,129.4833,27.06,81,0,2.06,JP,1723153821
299,magaria,12.9983,8.9099,27.51,67,100,4.57,NE,1723153863
300,salekhard,66.53,66.6019,6.9,91,24,3.96,RU,1723153864
301,chichiriviche,10.9333,-68.2772,28.15,80,3,5.62,VE,1723153865
302,haimen,23.1935,116.6142,27.5,86,53,3.45,CN,1723153866
303,porto empedocle,37.2934,13.5264,27.74,66,0,1.35,IT,1723153867
304,kerikeri,-35.2268,173.9474,12.73,95,4,0.89,NZ,1723153868
305,happy valley-goose bay,53.3168,-60.3315,18.17,48,75,2.06,CA,1723153869
306,warman,52.3168,-106.5679,19.95,40,75,1.03,CA,1723153870
307,carbonear,47.7332,-53.2148,16.85,74,98,0.3,CA,1723153872
308,ciudad lazaro cardenas,17.9583,-102.2,30.94,70,72,3.8,MX,1723153824
309,chibougamau,49.9168,-74.3659,20.79,52,75,5.14,CA,1723153874
310,thayetmyo,19.3167,95.1833,23.8,97,89,2.23,MM,1723153875
311,mar del plata,-38.0023,-57.5575,8.01,84,0,7.15,AR,1723153782
312,behompy,-23.2496,43.8557,18.32,91,0,1.13,MG,1723153877
313,barcelos,41.5388,-8.6151,18.61,83,0,1.07,PT,1723153878
314,sao joao da barra,-21.6403,-41.0511,23.35,84,0,9.1,BR,1723153879
315,cobija,-11.0267,-68.7692,32.1,62,75,3.09,BO,1723153880
316,vorgashor,67.5833,63.95,5.68,86,1,2.4,RU,1723153882
317,isafjordur,66.0755,-23.124,5.82,94,96,3.17,IS,1723153883
318,brookings,44.3114,-96.7984,19.0,52,75,7.72,US,1723153829
319,guacimo,10.2104,-83.6807,27.05,90,92,0.87,CR,1723153885
320,ves'yegonsk,58.664,37.2604,12.86,96,60,1.57,RU,1723153886
321,coruripe,-10.1256,-36.1756,22.84,79,42,4.21,BR,1723153887
322,manismata,-2.4667,111.0333,22.92,99,100,1.26,ID,1723153888
323,raduzhny,62.0961,77.475,11.72,67,100,3.79,RU,1723153889
324,santiago,-33.4569,-70.6483,14.69,45,0,2.57,CL,1723153174
325,nishinoomote,30.7333,131.0,29.35,79,19,5.22,JP,1723153891
326,el sauzal de rodriguez,31.9,-116.6833,23.56,62,47,2.98,MX,1723153892
327,mananara,-16.1667,49.7667,20.22,88,48,2.04,MG,1723153802
328,bamboo flat,11.7,92.7167,26.68,84,45,3.64,IN,1723153895
329,remire-montjoly,4.9167,-52.2667,26.02,94,75,2.57,GF,1723153896
330,dalkey,53.2783,-6.1003,18.09,90,75,8.23,IE,1723153897
331,dryden,49.7833,-92.7503,12.16,100,100,3.09,CA,1723153855
332,jeddah,21.5169,39.2192,33.92,55,40,2.57,SA,1723153899
333,peace river,56.2501,-117.286,25.17,46,75,4.12,CA,1723153706
334,dokkum,53.3222,5.997,19.99,64,100,4.63,NL,1723153901
335,hadibu,12.65,54.0333,25.1,81,24,7.67,YE,1723153903
336,mount pearl,47.5166,-52.7813,22.19,43,75,5.14,CA,1723153904
337,tortoli,39.9256,9.6572,28.97,89,0,2.57,IT,1723153905
338,roswell,34.0232,-84.3616,34.16,59,75,6.17,US,1723153906
339,nadi,-17.8,177.4167,23.0,68,75,3.09,FJ,1723153907
340,nadym,65.5333,72.5167,7.44,77,76,4.11,RU,1723153908
341,puerto armuelles,8.2833,-82.8667,27.83,84,100,2.24,PA,1723153909
342,north bend,43.4065,-124.2243,15.95,82,75,7.72,US,1723153788
343,betio village,1.358,172.9211,28.37,67,76,4.22,KI,1723153911
344,hassi messaoud,31.6804,6.0729,35.92,17,0,2.57,DZ,1723153912
345,new plymouth,-39.0667,174.0833,9.06,100,83,1.49,NZ,1723153913
346,chiungutwa,-10.8833,38.9833,18.55,91,7,1.78,TZ,1723153916
347,tianchang,37.9981,114.0156,23.01,81,100,1.48,CN,1723153917
348,muroto-misakicho,33.2833,134.15,28.82,71,41,1.06,JP,1723153918
349,marka,1.7159,44.7717,24.0,85,34,6.74,SO,1723153919
350,yaren,-0.5472,166.916,28.3,69,100,3.21,NR,1723153921
351,mudanjiang,44.5833,129.6,20.22,94,77,1.69,CN,1723153922
352,mahabad,36.7631,45.7222,23.02,55,0,2.46,IR,1723153923
353,hovd,48.0056,91.6419,18.17,46,8,2.54,MN,1723153924
354,susuman,62.7833,148.1667,11.49,74,85,1.23,RU,1723153925
355,al ghayzah,16.2079,52.176,24.65,91,90,5.39,YE,1723153926
356,isla mujeres,21.2311,-86.731,30.05,66,56,3.27,MX,1723153927
357,nogliki,51.8333,143.1667,12.01,97,100,6.7,RU,1723153928
358,estes park,40.3772,-105.5217,15.45,84,94,2.68,US,1723153929
359,motueka,-41.1333,173.0167,10.64,86,78,2.36,NZ,1723153930
360,ancud,-41.8697,-73.8203,7.68,77,100,2.08,CL,1723153706
361,kwekwe,-18.9281,29.8149,14.41,31,0,2.21,ZW,1723153933
362,san patricio,28.017,-97.5169,35.22,41,1,5.98,US,1723153934
363,tarrafal de sao nicolau,16.5667,-24.3667,24.73,74,1,2.14,CV,1723153935
364,gaalkacyo,6.7697,47.4308,25.52,55,100,10.85,SO,1723153936
365,las lomitas,-24.7096,-60.593,14.11,37,2,3.34,AR,1723153937
